id,name,description
Collectible_Amulet1_Fine_Metal,둥근 강철 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 단단한 강철로 벼려졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal2_Fine_Blue,길쭉한 청옥 원석,바위에서 캐낸 보석 원석이다. 푸른 빛이 차갑게 빛난다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal2_Fine_White,길쭉한 백색 원석,바위에서 캐낸 보석 원석이다. 맑고 투명한 빛을 띤다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crown_Fine_Metal,강철 왕관,한때 누군가의 머리를 장식했을 왕관이다. 단단한 강철로 벼려졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal1_Aged_Violet,낡은 뾰족한 자수정 원석,바위에서 캐낸 보석 원석이다. 보랏빛이 깊게 어린다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet5_Fine_Gold,작은 황금 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 도금이 아직 은은하게 남아 있다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Mask4_Wood1,무늬가 새겨진 목제 가면,의식이나 연회에서 얼굴을 가리던 가면이다. 나무 결이 물에 불어 부드럽다.
Collectible_Crystal4_Aged_Violet,낡은 자잘한 자수정 원석,바위에서 캐낸 보석 원석이다. 보랏빛이 깊게 어린다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet5_Fine_Mixed,작은 장식 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 여러 재질을 덧대어 만들었다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Amulet2_Aged_Metal,낡은 길쭉한 강철 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 단단한 강철로 벼려졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet2_Fine_Gold,길쭉한 황금 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 도금이 아직 은은하게 남아 있다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal4_Aged_Blue,낡은 자잘한 청옥 원석,바위에서 캐낸 보석 원석이다. 푸른 빛이 차갑게 빛난다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal3_Fine_Red,뭉툭한 홍옥 원석,바위에서 캐낸 보석 원석이다. 붉은 빛이 선명하다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal2_Aged_Red,낡은 길쭉한 홍옥 원석,바위에서 캐낸 보석 원석이다. 붉은 빛이 선명하다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal_Amulet2_Fine_Bronze,청동 보석 부적,보석을 박아 넣은 부적이다. 청동 특유의 푸른 녹이 앉았다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Amulet3_Fine_Mixed,세공이 화려한 장식 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 여러 재질을 덧대어 만들었다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal1_Fine_Blue,뾰족한 청옥 원석,바위에서 캐낸 보석 원석이다. 푸른 빛이 차갑게 빛난다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal3_Fine_Blue,뭉툭한 청옥 원석,바위에서 캐낸 보석 원석이다. 푸른 빛이 차갑게 빛난다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal1_Fine_Violet,뾰족한 자수정 원석,바위에서 캐낸 보석 원석이다. 보랏빛이 깊게 어린다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal3_Fine_Violet,뭉툭한 자수정 원석,바위에서 캐낸 보석 원석이다. 보랏빛이 깊게 어린다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Goldbar2_Aged_Silver,낡은 작은 은 금속괴,교역과 보관을 위해 반듯하게 주조된 금속 덩이다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cup1_Fine_Silver,낮은 은 굽잔,귀한 자리에서 술이나 물을 담던 잔이다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal1_Fine_Green,뾰족한 녹옥 원석,바위에서 캐낸 보석 원석이다. 초록빛이 물속에서 은은하다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal3_Fine_White,뭉툭한 백색 원석,바위에서 캐낸 보석 원석이다. 맑고 투명한 빛을 띤다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Amulet5_Fine_Metal,작은 강철 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 단단한 강철로 벼려졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Amulet3_Fine_Metal,세공이 화려한 강철 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 단단한 강철로 벼려졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal3_Aged_Violet,낡은 뭉툭한 자수정 원석,바위에서 캐낸 보석 원석이다. 보랏빛이 깊게 어린다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet1_Fine_Mixed,둥근 장식 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 여러 재질을 덧대어 만들었다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal4_Aged_Black,낡은 자잘한 흑요석 원석,바위에서 캐낸 보석 원석이다. 검은 표면이 빛을 삼킨다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cup2_Aged_Bronze,낡은 굽이 높은 청동 굽잔,귀한 자리에서 술이나 물을 담던 잔이다. 청동 특유의 푸른 녹이 앉았다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cup2_Aged_Mixed,낡은 굽이 높은 장식 굽잔,귀한 자리에서 술이나 물을 담던 잔이다. 여러 재질을 덧대어 만들었다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crown_Fine_Bronze,청동 왕관,한때 누군가의 머리를 장식했을 왕관이다. 청동 특유의 푸른 녹이 앉았다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Mug2_Fine_Bronze,무늬가 도드라진 청동 손잡이 잔,"손잡이가 달린 두툼한 술잔으로, 뱃사람이 쓰던 것으로 보인다. 청동 특유의 푸른 녹이 앉았다. 보존 상태가 좋아 원형을 잘 간직하고 있다."
Collectible_Amulet2_Aged_Gold,낡은 길쭉한 황금 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 도금이 아직 은은하게 남아 있다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet4_Fine_Silver,투박한 은 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Amulet1_Aged_Mixed,낡은 둥근 장식 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 여러 재질을 덧대어 만들었다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet2_Aged_Silver,낡은 길쭉한 은 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cup2_Fine_Mixed,굽이 높은 장식 굽잔,귀한 자리에서 술이나 물을 담던 잔이다. 여러 재질을 덧대어 만들었다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Amulet4_Aged_Metal,낡은 투박한 강철 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 단단한 강철로 벼려졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal1_Fine_Red,뾰족한 홍옥 원석,바위에서 캐낸 보석 원석이다. 붉은 빛이 선명하다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Amulet3_Aged_Gold,낡은 세공이 화려한 황금 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 도금이 아직 은은하게 남아 있다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Goldbar2_Fine_Gold,작은 황금 금속괴,교역과 보관을 위해 반듯하게 주조된 금속 덩이다. 도금이 아직 은은하게 남아 있다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crown_Aged_Bronze,낡은 청동 왕관,한때 누군가의 머리를 장식했을 왕관이다. 청동 특유의 푸른 녹이 앉았다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal1_Aged_White,낡은 뾰족한 백색 원석,바위에서 캐낸 보석 원석이다. 맑고 투명한 빛을 띤다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal2_Aged_Black,낡은 길쭉한 흑요석 원석,바위에서 캐낸 보석 원석이다. 검은 표면이 빛을 삼킨다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet1_Aged_Gold,낡은 둥근 황금 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 도금이 아직 은은하게 남아 있다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cross2_Aged_Metal,낡은 장식이 새겨진 강철 십자가,신앙의 상징으로 몸에 지녔을 십자가다. 단단한 강철로 벼려졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet3_Aged_Silver,낡은 세공이 화려한 은 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cross2_Fine_Bronze,장식이 새겨진 청동 십자가,신앙의 상징으로 몸에 지녔을 십자가다. 청동 특유의 푸른 녹이 앉았다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crown_Aged_Silver,낡은 은 왕관,한때 누군가의 머리를 장식했을 왕관이다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cross1_Fine_Metal,단순한 강철 십자가,신앙의 상징으로 몸에 지녔을 십자가다. 단단한 강철로 벼려졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal2_Aged_Violet,낡은 길쭉한 자수정 원석,바위에서 캐낸 보석 원석이다. 보랏빛이 깊게 어린다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal4_Aged_Green,낡은 자잘한 녹옥 원석,바위에서 캐낸 보석 원석이다. 초록빛이 물속에서 은은하다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cup1_Fine_Gold,낮은 황금 굽잔,귀한 자리에서 술이나 물을 담던 잔이다. 도금이 아직 은은하게 남아 있다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Goldbar2_Fine_Bronze,작은 청동 금속괴,교역과 보관을 위해 반듯하게 주조된 금속 덩이다. 청동 특유의 푸른 녹이 앉았다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Amulet3_Aged_Bronze,낡은 세공이 화려한 청동 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 청동 특유의 푸른 녹이 앉았다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cup1_Aged_Mixed,낡은 낮은 장식 굽잔,귀한 자리에서 술이나 물을 담던 잔이다. 여러 재질을 덧대어 만들었다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crown_Aged_Gold,낡은 황금 왕관,한때 누군가의 머리를 장식했을 왕관이다. 도금이 아직 은은하게 남아 있다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal_Amulet2_Fine_Metal,강철 보석 부적,보석을 박아 넣은 부적이다. 단단한 강철로 벼려졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal1_Aged_Red,낡은 뾰족한 홍옥 원석,바위에서 캐낸 보석 원석이다. 붉은 빛이 선명하다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet1_Fine_Gold,둥근 황금 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 도금이 아직 은은하게 남아 있다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Amulet1_Aged_Silver,낡은 둥근 은 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Wand_Fine_Mixed,장식 장식봉,끝에 장식을 물린 의례용 지팡이로 짐작된다. 여러 재질을 덧대어 만들었다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Cross2_Aged_Gold,낡은 장식이 새겨진 황금 십자가,신앙의 상징으로 몸에 지녔을 십자가다. 도금이 아직 은은하게 남아 있다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cross1_Aged_Bronze,낡은 단순한 청동 십자가,신앙의 상징으로 몸에 지녔을 십자가다. 청동 특유의 푸른 녹이 앉았다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet5_Aged_Gold,낡은 작은 황금 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 도금이 아직 은은하게 남아 있다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cross1_Aged_Gold,낡은 단순한 황금 십자가,신앙의 상징으로 몸에 지녔을 십자가다. 도금이 아직 은은하게 남아 있다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet5_Aged_Mixed,낡은 작은 장식 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 여러 재질을 덧대어 만들었다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Mask3_Metal,뿔 달린 강철 가면,의식이나 연회에서 얼굴을 가리던 가면이다. 단단한 강철로 벼려졌다.
Collectible_Mask4_Metal,무늬가 새겨진 강철 가면,의식이나 연회에서 얼굴을 가리던 가면이다. 단단한 강철로 벼려졌다.
Collectible_Crystal_Amulet2_Aged_Gold,낡은 황금 보석 부적,보석을 박아 넣은 부적이다. 도금이 아직 은은하게 남아 있다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Mug2_Fine_Mixed,무늬가 도드라진 장식 손잡이 잔,"손잡이가 달린 두툼한 술잔으로, 뱃사람이 쓰던 것으로 보인다. 여러 재질을 덧대어 만들었다. 보존 상태가 좋아 원형을 잘 간직하고 있다."
Collectible_Mask3_Bronze,뿔 달린 청동 가면,의식이나 연회에서 얼굴을 가리던 가면이다. 청동 특유의 푸른 녹이 앉았다.
Collectible_Mask4_Clay,무늬가 새겨진 토제 가면,의식이나 연회에서 얼굴을 가리던 가면이다. 구운 흙의 투박한 질감이 남았다.
Collectible_Necklace_Rope1_Aged_White,낡은 길게 늘어뜨린 백색 목걸이,"구슬을 꿴 목걸이로, 끈이 삭았어도 알은 온전하다. 맑고 투명한 빛을 띤다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다."
Collectible_Necklace_Rope1_Aged_Red,낡은 길게 늘어뜨린 홍옥 목걸이,"구슬을 꿴 목걸이로, 끈이 삭았어도 알은 온전하다. 붉은 빛이 선명하다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다."
Collectible_Necklace_Rope1_Fine_Blue,길게 늘어뜨린 청옥 목걸이,"구슬을 꿴 목걸이로, 끈이 삭았어도 알은 온전하다. 푸른 빛이 차갑게 빛난다. 보존 상태가 좋아 원형을 잘 간직하고 있다."
Collectible_Mask2_Metal,긴 부리 모양의 강철 가면,의식이나 연회에서 얼굴을 가리던 가면이다. 단단한 강철로 벼려졌다.
Collectible_Mask3_Porcelain,뿔 달린 자기 가면,의식이나 연회에서 얼굴을 가리던 가면이다. 매끈한 자기 표면에 잔금이 갔다.
Collectible_Mug1_Aged_Silver,낡은 밋밋한 은 손잡이 잔,"손잡이가 달린 두툼한 술잔으로, 뱃사람이 쓰던 것으로 보인다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다."
Collectible_Necklace_Rope2_Fine_White,짧은 백색 목걸이,"구슬을 꿴 목걸이로, 끈이 삭았어도 알은 온전하다. 맑고 투명한 빛을 띤다. 보존 상태가 좋아 원형을 잘 간직하고 있다."
Collectible_Mask3_Gold,뿔 달린 황금 가면,의식이나 연회에서 얼굴을 가리던 가면이다. 도금이 아직 은은하게 남아 있다.
Collectible_Mug1_Aged_Mixed,낡은 밋밋한 장식 손잡이 잔,"손잡이가 달린 두툼한 술잔으로, 뱃사람이 쓰던 것으로 보인다. 여러 재질을 덧대어 만들었다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다."
Collectible_Cup1_Aged_Gold,낡은 낮은 황금 굽잔,귀한 자리에서 술이나 물을 담던 잔이다. 도금이 아직 은은하게 남아 있다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Goldbar1_Aged_Bronze,낡은 큰 청동 금속괴,교역과 보관을 위해 반듯하게 주조된 금속 덩이다. 청동 특유의 푸른 녹이 앉았다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cup2_Fine_Bronze,굽이 높은 청동 굽잔,귀한 자리에서 술이나 물을 담던 잔이다. 청동 특유의 푸른 녹이 앉았다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Mask5_Wood2,웃는 얼굴의 목제 가면,의식이나 연회에서 얼굴을 가리던 가면이다. 나무 결이 물에 불어 부드럽다.
Collectible_Goldbar1_Fine_Metal,큰 강철 금속괴,교역과 보관을 위해 반듯하게 주조된 금속 덩이다. 단단한 강철로 벼려졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Necklace_Rope1_Aged_Green,낡은 길게 늘어뜨린 녹옥 목걸이,"구슬을 꿴 목걸이로, 끈이 삭았어도 알은 온전하다. 초록빛이 물속에서 은은하다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다."
Collectible_Mug1_Fine_Mixed,밋밋한 장식 손잡이 잔,"손잡이가 달린 두툼한 술잔으로, 뱃사람이 쓰던 것으로 보인다. 여러 재질을 덧대어 만들었다. 보존 상태가 좋아 원형을 잘 간직하고 있다."
Collectible_Amulet4_Aged_Silver,낡은 투박한 은 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal1_Fine_White,뾰족한 백색 원석,바위에서 캐낸 보석 원석이다. 맑고 투명한 빛을 띤다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Necklace_Rope1_Aged_Violet,낡은 길게 늘어뜨린 자수정 목걸이,"구슬을 꿴 목걸이로, 끈이 삭았어도 알은 온전하다. 보랏빛이 깊게 어린다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다."
Collectible_Crystal2_Fine_Violet,길쭉한 자수정 원석,바위에서 캐낸 보석 원석이다. 보랏빛이 깊게 어린다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal3_Aged_White,낡은 뭉툭한 백색 원석,바위에서 캐낸 보석 원석이다. 맑고 투명한 빛을 띤다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal2_Fine_Red,길쭉한 홍옥 원석,바위에서 캐낸 보석 원석이다. 붉은 빛이 선명하다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal4_Fine_Blue,자잘한 청옥 원석,바위에서 캐낸 보석 원석이다. 푸른 빛이 차갑게 빛난다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal3_Aged_Blue,낡은 뭉툭한 청옥 원석,바위에서 캐낸 보석 원석이다. 푸른 빛이 차갑게 빛난다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Mask2_Porcelain,긴 부리 모양의 자기 가면,의식이나 연회에서 얼굴을 가리던 가면이다. 매끈한 자기 표면에 잔금이 갔다.
Collectible_Cup2_Aged_Gold,낡은 굽이 높은 황금 굽잔,귀한 자리에서 술이나 물을 담던 잔이다. 도금이 아직 은은하게 남아 있다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal_Amulet2_Aged_Metal,낡은 강철 보석 부적,보석을 박아 넣은 부적이다. 단단한 강철로 벼려졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal_Amulet2_Fine_Silver,은 보석 부적,보석을 박아 넣은 부적이다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Amulet2_Fine_Metal,길쭉한 강철 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 단단한 강철로 벼려졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Mug1_Fine_Metal,밋밋한 강철 손잡이 잔,"손잡이가 달린 두툼한 술잔으로, 뱃사람이 쓰던 것으로 보인다. 단단한 강철로 벼려졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다."
Collectible_Crystal_Amulet1_Fine_Bronze,청동 보석 부적,보석을 박아 넣은 부적이다. 청동 특유의 푸른 녹이 앉았다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Mask6_Wood1,우는 얼굴의 목제 가면,의식이나 연회에서 얼굴을 가리던 가면이다. 나무 결이 물에 불어 부드럽다.
Collectible_Amulet5_Fine_Silver,작은 은 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Amulet4_Aged_Mixed,낡은 투박한 장식 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 여러 재질을 덧대어 만들었다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet3_Fine_Silver,세공이 화려한 은 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
